group,quiz_id,title,category,videoId,allowSeeking,requireContinue,feedbackDelaySeconds,requireWatchToEnd,requireIdentity,identityPrompt,type,t,item_id,prompt,note,points,correct,choice_a,feedback_a,choice_b,feedback_b,choice_c,feedback_c,choice_d,feedback_d,choice_e,feedback_e,choice_f,feedback_f,choice_g,feedback_g,choice_h,feedback_h,choice_i,feedback_i,overall_feedback,pointsPerCorrect,penaltyPerWrong,capAtMax,accept,caseSensitive,placeholder,endAt
Week 01,pp001,Different Way to Learn Physics,Become familiar with our learning model,5tQ1Duebxb8,FALSE,TRUE,2,TRUE,TRUE,,checkbox,27.98,q1,How is our class different from other classes?,Check ALL the correct answers.,1,a,We watch videos at home and work in groups together in class.,Right!,,,,,,,,,,,,,,,,,,1,0,,,,,
Week 01,pp001,Different Way to Learn Physics,Become familiar with our learning model,5tQ1Duebxb8,FALSE,TRUE,2,TRUE,TRUE,,checkbox,77.9,q2,How is this method like learning our first language?,Check ALL the correct answers.,1,a,We just start doing it and get better by repetition,,We drink milk and get burped while we're learning,,,,,,,,,,,,,,,,,1,0,,,,,
Week 01,pp001,Different Way to Learn Physics,Become familiar with our learning model,5tQ1Duebxb8,FALSE,TRUE,2,TRUE,TRUE,,checkbox,121.1,q3,What point am I making about learning concepts in parallel?,Check ALL the correct answers.,1,a,Traditionally focusing on one concept at a time doesn't require us to identify which concept is important,,It's not possible to learn one concept without learning the others,,,,,,,,,,,,,,,,,1,0,,,,,
Week 01,pp001,Different Way to Learn Physics,Become familiar with our learning model,5tQ1Duebxb8,FALSE,TRUE,2,TRUE,TRUE,,checkbox,177.91,q4,I'm listing advantages for 'lecture videos'. What are some advantages?,Check ALL the correct answers.,1,"a,c",You can stop the video and repeat things that are not clear,,You can call my cell phone to ask questions,,"You can discuss videos with your colleagues, and bring questions to class.",,,,,,,,,,,,,,,1,0,,,,,
Week 01,pp001,Different Way to Learn Physics,Become familiar with our learning model,5tQ1Duebxb8,FALSE,TRUE,2,TRUE,TRUE,,checkbox,210.74,q5,Peer Instruction' is when students learn from each other. What do studies show?,Check ALL the correct answers.,1,"a,b",Students learn better from other students than from an instructor.,,The student who is helping the other students also greatly benefits from peer instruction,,,,,,,,,,,,,,,,,1,0,,,,,
Week 01,pp001,Different Way to Learn Physics,Become familiar with our learning model,5tQ1Duebxb8,FALSE,TRUE,2,TRUE,TRUE,,checkbox,271.09,q6,What resources are publicly available for this class?,Check ALL the correct answers.,1,"a,b,c,d",Lecture videos,,Past exams and homework,,Solutions,,Online Textbook,,,,,,,,,,,,,1,0,,,,,
Week 01,pp001,Different Way to Learn Physics,Become familiar with our learning model,5tQ1Duebxb8,FALSE,TRUE,2,TRUE,TRUE,,mcq,304,q7,What skill do I imply is the most important?,Choose the correct answer.,1,a,Working with other people,,Finding conceptual underpinnings,,,,,,,,,,,,,,,,,1,0,,,,,
,template_demo,Template Demo Quiz (All Types),Template / Examples,dQw4w9WgXcQ,FALSE,TRUE,0,FALSE,FALSE,,mcq,10,demo_mcq,(MCQ) What color is the sky on a clear day?,,1,a,Blue,Correct.,Green,Not quite.,Red,Nope.,Yellow,Nope.,,,,,,,,,,,MCQ example.,1,0,,,,,
,template_demo,Template Demo Quiz (All Types),Template / Examples,dQw4w9WgXcQ,FALSE,TRUE,0,FALSE,FALSE,,checkbox,25,demo_checkbox,(Checkbox) Select all fruits:,,1,"a,c,d",Apple,Yes.,Car,No.,Orange,Yes.,Banana,Yes.,,,,,,,,,,,Checkbox example.,1,0,,,,,
,template_demo,Template Demo Quiz (All Types),Template / Examples,dQw4w9WgXcQ,FALSE,TRUE,0,FALSE,FALSE,,fib,40,demo_fib,(Fill-in) Type the chemical formula for water:,,1,H2O,,,,,,,,,,,,,,,,,,,FIB example.,1,0,,H2O;h2o,FALSE,Enter answer,
,template_demo,Template Demo Quiz (All Types),Template / Examples,dQw4w9WgXcQ,FALSE,TRUE,0,FALSE,FALSE,,free,55,demo_free,"(Free response) In one sentence, what did you learn?",,,,,,,,,,,,,,,,,,,,,,,1,0,,,,Type a brief reflection,
,template_demo,Template Demo Quiz (All Types),Template / Examples,dQw4w9WgXcQ,FALSE,TRUE,0,FALSE,FALSE,,poll,70,demo_poll,(Poll) How confident do you feel about this topic?,,,,Not confident,Thanks!,Somewhat confident,Thanks!,Very confident,Thanks!,,,,,,,,,,,,,Poll example.,1,0,,,,,
,template_demo,Template Demo Quiz (All Types),Template / Examples,dQw4w9WgXcQ,FALSE,TRUE,0,FALSE,FALSE,,pause,85,demo_pause,(Pause) Take a moment to think before continuing.,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,
